,tweet
54,b'RT @macapineiro: Aprovechemos el d\xc3\xada para recordar lo m\xc3\xa1s grande que hicieron por unx amigx. Yo le saqu\xc3\xa9 a una amiga un tamp\xc3\xb3n al que se le\xe2\x80\xa6'
55,"b'RT @OrgasmoDeNoche: Buen sexo, comunicaci\xc3\xb3n, amor y fidelidad.'"
56,"b'RT @UnHiloEscarlata: El amor no solo es cosa de sentimientos y emociones, tambi\xc3\xa9n es cuesti\xc3\xb3n de egocentrismo, sobre todo cuando lo que hab\xe2\x80\xa6'"
57,b'o soy un amor o te hago el amor no hay punto medio'
58,"b'Desde que te fuiste, Mi vida es lo m\xc3\xa1ximo, Tir\xc3\xa9 del alcohol sin freno a lo loco, Para que mentirte, Dejando de pens\xe2\x80\xa6 https://t.co/X2dmjufYUb'"
59,"b'ay dios lo mal que ella y su familia lo deben estar pasando, ahora m\xc3\xa1s que nunca merecen todo nuestro apoyo y amor'"
60,"b'@nadrosso Hay algunos grupos que dedican un buen de sus letras al medio ambiente, al feminismo y causas sociales en\xe2\x80\xa6 https://t.co/h5GtB0G8iB'"
61,"b'RT @PonchinGarciaJr: El amor llegar\xc3\xa1, ahorita conc\xc3\xa9ntrate en llenar tu CV.'"
62,"b'RT @sergiorochoa: No es algo wow pero siempre quise hacer esto con el amor de mi vida, y hoy lo hice conmigo mismo ( mi soledad, mi m\xc3\xbasica\xe2\x80\xa6'"
63,"b'RT @maggiessalexx: Luisita y Amelia diciendo una a la otra ""mi amor"" es que me derrito, estas cosas me ponen bland\xc3\xadsima \xf0\x9f\xa5\xba\xe2\x9d\xa4\xef\xb8\x8f\n\n#LuimeliaSinSe\xe2\x80\xa6'"
64,b'RT @auronxsea: GUSTABO GARC\xc3\x8dA SOS UN TERRIBLE PUTO Y TU SOCIOPATIA UNA TERRIBLE MIERDA NO TE ACORD\xc3\x81S CUANDO HORACIO TE LLENABA EL ALMA DE A\xe2\x80\xa6'
65,"b'CasemonoDIGO pero amor, tendr\xc3\xa1 que usar vestido o no. https://t.co/Om7TkUxOuS'"
66,"b'RT @KINGSBTS7: no necesitan ser ricos, ni tener toda la merch de los chicos tampoco ir al d\xc3\xada con sus \xc3\xa1lbumes para validar que son armys, n\xe2\x80\xa6'"
67,b'RT @MilyIbarra1: Le entregu\xc3\xa9 lo mejor de mi. No me puedo quejar. Estoy orgullosa de tener el coraz\xc3\xb3n que tengo y de mi capacidad de dar amo\xe2\x80\xa6'
68,"b'RT @ArmyRenzi: Caminando descalzo en la orilla, respire los olores del mar, escuche el canto de las olas, conozca a las conchas, las hijas\xe2\x80\xa6'"
69,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
70,b'esas personas que no conozco y reaccionan a mis historias de ig tienen todo mi amor ganado'
